,Unnamed: 0,id,job,original_name,popularity,air_date,episode_number,Title,overview,runtime,season_number,vote_average,list_of_characters,list_of_popularity,title_len,holiday_episode,sentiment
203,208,955152,['Director'],['Gary Halvorson'],[2.843],2000-05-04,21.0,The One Where Paul's the Man,"While visiting an art museum, Monica puts her name on a two-year waiting list to use the museum for a wedding. Accidentally Chandler finds out about this and freaks out. Meanwhile, Paul threatens to have Ross fired from the university if he continues to date Elizabeth, however, that doesn't stop the two of them from going to her dad's mountain cabin over the weekend. Unfortunately for them, Paul has the same idea to bring Rachel there.",23.0,6.0,8.639,"['Elizabeth Stevens', 'Paul Stevens', 'Museum Official', 'Dry Cleaner', ""Dry Cleaner's Wife"", 'Gunther']","[18.785, 45.297, 10.751, 10.273, 2.308, 8.622]",28,0,-0.25
204,209,955153,"['Writer', 'Director']","['Scott Silveri', 'Kevin S. Bright']","[3.0, 1.519]",2001-10-18,4.0,The One with the Videotape,"Monica and Chandler return from their honeymoon with stories of a couple that they met on the flight back, but soon discover that the couple gave them a wrong number. Meanwhile, Ross and Rachel tell everyone about the night they were together, however, their stories differ as to who made the first move. While Ross emphatically defends his side of the story, he accidentally reveals that he has the encounter on videotape. Unsurprisingly, everyone wants to see it.",23.0,8.0,9.152,['Kristen'],[8.325],26,0,-0.012499999999999997
205,210,955154,"['Writer', 'Director']","['Brian Buckner', 'Kevin S. Bright']","[0.84, 1.519]",2002-01-31,14.0,The One with the Secret Closet,"Chandler's very curious about a locked closet by the bathroom in their apartment, but Monica won't tell him what is inside. After Phoebe convinces Monica to get a massage from her, she soon finds out that Monica makes sexual noises during the process, which makes Phoebe very uncomfortable. Meanwhile, Rachel feels her baby kick for the first time and Ross is upset when he can't be more involved in Rachel's pregnancy issues.",22.0,8.0,8.6,['Doctor'],[2.566],30,0,0.094
206,211,1007805,"['Director', 'Editor', 'Director of Photography', 'Story', 'Teleplay']","['Michael Lembeck', 'David Helfand', 'Mikel Neiers', 'Alexa Junge', 'Michael Borkow']","[6.644, 0.98, 1.632, 1.388, 1.388]",1996-03-21,18.0,The One Where Dr. Ramoray Dies,"Chandler learns more about his new roommate, Eddie. Ross is stressed out to learn that Rachel had 'animal sex' with Paolo. Richard and Monica are uncomfortable to learn what their numbers of ex-lovers are. Joey's remarks to a fan magazine could cause him to lose his job playing Dr Ramoray.",23.0,2.0,8.077,"['Richard Burke', 'Mike Horton', 'Tilly', 'Amber', 'Messenger', 'Writer', 'Eddie Menuek', 'Gunther']","[38.062, 7.869, 1.843, 0.764, 10.9, 0.6, 20.929, 8.622]",30,0,0.04545454545454545
207,212,1007806,"['Director', 'Editor', 'Director of Photography', 'Writer']","['Michael Lembeck', 'David Helfand', 'Mikel Neiers', 'Brown Mandell']","[6.644, 0.98, 1.632, 0.6]",1996-05-09,23.0,The One with the Chicken Pox,"Phoebe's submariner ex-boyfriend visits New York on leave for 2 weeks from the Navy. Unfortunately, Phoebe catches chicken pox at Ben's first birthday party. When Monica realizes that Richard has no real neuroses, she worries that she is too strange for him. Chandler organizes a job as a processor for Joey.",23.0,2.0,8.103,"['Richard Burke', 'Ryan', 'Jeannie', 'Scott Alexander', 'Mr. Douglas']","[38.062, 28.504, 1.931, 12.148, 3.517]",28,0,-0.14393939393939395
208,213,1007807,"['Director', 'Writer', 'Editor', 'Director of Photography', 'Story Editor', 'Story Editor']","['Robby Benson', 'Wil Calhoun', 'Stephen Prime', 'Wil Calhoun', 'Shana Goldberg-Meehan', 'Scott Silveri']","[21.617, 1.021, 0.6, 1.021, 1.788, 3.0]",1997-02-06,14.0,The One with Phoebe's Ex-Partner,"Phoebe is reunited with her former singing partner who thinks ""Smelly Cat"" has hit potential; Chandler dates a woman with a prosthetic leg who also has some history with Joey. Meanwhile, Ross goes to a fashion seminar with Rachel, so she won't go with Mark, but falls asleep in the middle of it.",23.0,3.0,7.838,"['Ginger', 'Leslie', 'Mark Robinson', 'Gunther']","[32.448, 16.473, 7.515, 8.622]",32,0,0.0
209,214,1007808,"['Writer', 'Writer', 'Director', 'Editor', 'Director of Photography', 'Executive Story Editor', 'Executive Story Editor']","['Scott Silveri', 'Wil Calhoun', 'Kevin S. Bright', 'Stephen Prime', 'Mikel Neiers', 'Andrew Reich', 'Ted Cohen']","[3.0, 1.021, 1.519, 0.6, 1.632, 1.788, 3.069]",1998-04-09,19.0,The One with All the Haste,Ross proposes to Emily. Monica and Rachel try to win their apartment back from Chandler and Joey.,23.0,4.0,8.579,"['The Singing Man', 'Emily Waltham', 'Gunther']","[0.6, 14.562, 8.622]",26,0,0.4
210,216,4537938,"['Director', 'Writer']","['Michael Lembeck', 'Michael Borkow']","[6.644, 1.388]",1996-01-28,13.0,The One After the Super Bowl (2),Rachel and Monica compete for the affections of Jean-Claude Van Damme after meeting him on a movie set. Chandler meets a former schoolmate while an excited Joey gets a role as an extra in the movie. Ross and Marcel go on a whirlwind tour of the city.,23.0,2.0,8.286,"['Susie', 'Self', 'Cathy']","[26.408, 39.647, 18.48]",32,0,0.125
211,217,1007810,"['Director', 'Writer']","['Gary Halvorson', ‘Perry Rein’]","[2.843, 1.303]",1999-10-21,5.0,The One with Joey's Porsche,"Ross and Rachel try to get an annulment, but run into some legal obstacles. Joey finds keys to a Porsche in Central Perk and discovers some perks of being a fancy car owner. Meanwhile, Chandler, Monica and Phoebe babysit the triplets.",22.0,6.0,8.053,"['Judge', 'Porsche Owner', 'Gunther']","[16.848, 1.96, 8.622]",27,0,0.05000000000000001
212,218,87053,"['Director', ‘Writer']","[‘Ben Weiss’, ‘Vanessa McCarthy’]","[3.423, 3.163]",2001-02-08,14.0,The One Where They All Turn Thirty,"When Rachel turns 30, the gang reminisces about their 30th birthdays. Ross buys a sports car to look cool, Monica gets drunk, and Phoebe, while trying to patch things up with Ursula, discovers that she is actually 31.",22.0,7.0,8.4,"['Tag', 'Jack Geller', 'Judy Geller']","[12.141, 21.466, 13.696]",34,0,-0.05000000000000001
213,219,87335,"['Director', 'Writer']","[‘Ben Weiss’, ‘Vanessa McCarthy’]","[3.423, 3.163]",2002-01-17,13.0,The One Where Chandler Takes a Bath,"Monica turns Chandler on to the concept of taking a bath to relax, complete with scented oils and candles. Ross and Rachel toss baby names back and forth while deciding whether to learn the baby's sex. Meanwhile, Joey struggles with his feelings for Rachel.",22.0,8.0,8.7,"['Dr. Long', 'Gunther']","[3.688, 8.622]",35,0,0.05
214,220,87373,"['Director', 'Writer']","['Gary Halvorson', ‘Perry Rein’]","[2.843, 1.303]",2002-04-04,19.0,The One with Joey's Interview,"Joey prepares for an interview with Soap Opera Digest, although he's afraid of appearing stupid, so he enlists his friends to make sure things go well.  During the interview, he reminisces about his past acting experiences, what he does in his spare time, eating and exercising right, his friends, his homosexual tendencies, and his romantic life.",22.0,8.0,7.8,"['Shelly', 'Gunther']","[30.785, 8.622]",29,0,-0.12346938775510204
