,id,job,original_name,popularity,air_date,episode_number,name,overview,runtime,season_number,vote_average,list_of_characters,average_character_popularity
24,86097,"['Director', 'Writer', 'Editor', 'Director of Photography']","['James Burrows', 'Alexa Junge', 'Stephen Prime', 'Mikel Neiers']","[5.803, 1.388, 0.6, 1.632]",1996-02-01,14.0,The One with the Prom Video,"After getting his big break, with Days of Our Lives, Joey pays Chandler back. Monica is unemployed and hard up for money. Monica and Rachel's prom video reveals Monica's former girth, Rachel's former nose and the way Ross has always felt about Rachel.",23.0,2.0,9.0,"['Restaurant Manager', 'Jonathan', 'Roy Gublik', 'Gail', 'Jack Geller', 'Judy Geller']",7.555666666666667
25,86098,"['Director', 'Writer', 'Writer', 'Editor', 'Director of Photography']","['Mary Kay Place', 'Marta Kauffman', 'David Crane', 'David Helfand', 'Mikel Neiers']","[10.042, 5.777, 3.76, 0.98, 1.632]",1995-11-16,8.0,The One with the List,"Ross enlists Joey and Chandler to help with his decision to choose Julie or Rachel by making a list of the pros and cons of each. Big mistake. Meanwhile, Monica gets a job making food with a synthetic chocolate substitute called Mockolate.",23.0,2.0,8.15,"['Mr. Rastatter', 'Julie', 'Gunther']",19.048666666666666
26,86102,"['Director', 'Editor', 'Director of Photography', 'Writer']","['Thomas Schlamme', 'David Helfand', 'Mikel Neiers', 'Doty Abrams']","[1.972, 0.98, 1.632, 0.621]",1996-01-18,11.0,The One with the Lesbian Wedding,Monica caters the wedding of Ross's ex-wife and her lesbian lover. Phoebe is possessed by the spirit of an 82-year-old massage client who dies in the middle of a session. And Rachel's mom comes to visit and drops a bombshell.,23.0,2.0,8.125,"['Minister', 'Sandra Green', 'Mr. Adelman', 'Chrissy', 'Woman', 'Susan Bunch', 'Carol Willick']",8.864
27,86113,"['Writer', 'Director', 'Editor', 'Writer', 'Director of Photography']","['Adam Chase', 'Michael Lembeck', 'David Helfand', 'Ira Ungerleider', 'Mikel Neiers']","[2.15, 6.644, 0.98, 2.744, 1.632]",1995-09-28,2.0,The One with the Breast Milk,"The guys are uncomfortable with the thought of Carol's breast milk while Rachel is upset by Monica's growing friendship with Julie. Meanwhile, Joey competes with a fellow cologne spritzer for the affections of a beautiful colleague.",23.0,2.0,7.927,"['Annabelle', 'Julie', 'Hombre Man', 'Susan Bunch', 'Carol Willick', 'Gunther']",17.871166666666667
28,86118,"['Director', 'Editor', 'Writer', 'Writer', 'Director of Photography']","['Michael Lembeck', 'David Helfand', 'Mike Sikowitz', 'Jeff Astrof', 'Mikel Neiers']","[6.644, 0.98, 1.691, 2.917, 1.632]",1995-09-21,1.0,The One with Ross's New Girlfriend,"Rachel waits patiently at the airport for Ross, returning from China. Meanwhile, after giving Joey and Chandler new haircuts, Phoebe is persuaded to cut Monica's hair. And Joey learns that his tailor is a very naughty man.",23.0,2.0,8.4,"['Paolo', 'Julie', 'Frankie']",10.895333333333332
29,86120,"['Editor', 'Writer', 'Director of Photography']","['David Helfand', 'Chris Brown', 'Mikel Neiers']","[0.98, 0.6, 1.632]",1995-10-19,5.0,The One with Five Steaks and an Eggplant,"When a sexy woman calls the wrong number, Chandler seeks to make the most of the situation. And income issues divide the friends. Monica, Ross and Chandler have money, while Phoebe, Rachel and Joey don't.",23.0,2.0,8.116,"['Jade', 'Steven Fishman', 'Gunther']",8.477333333333334
30,86121,"['Director', 'Editor', 'Director of Photography', 'Writer']","['Gail Mancuso', 'David Helfand', 'Mikel Neiers', 'Betsy Borns']","[2.681, 0.98, 1.632, 0.694]",1995-11-02,6.0,The One with the Baby on the Bus,"Chandler and Joey lose Ross's son, Ben and while checking out women on a bus. Phoebe loses her Central Perk singing gig to a professional singer. And Ross has an allergic reaction to Monica's kiwi-lime pie.",23.0,2.0,8.333,"['Caroline Duffy', 'Terry', 'Stephanie Schiffer', 'Robin', 'Dr. Karl', 'Jim', 'Becky', 'Condom Boy', 'Gunther']",14.69211111111111
31,86129,"['Writer', 'Director', 'Editor', 'Director of Photography']","['Michael Borkow', 'Peter Bonerz', 'David Helfand', 'Mikel Neiers']","[1.388, 3.859, 0.98, 1.632]",1995-11-09,7.0,The One Where Ross Finds Out,"A drunken Rachel is persuaded to call Ross and reveal her feelings for him on his answering machine. Now, Ross must make a decision between her and Julie. Meanwhile, Monica finds work as Chandler's personal trainer and Phoebe has a hard time trying to get her boyfriend to have sex with her.",23.0,2.0,8.714,"['Michael', 'Phone Guy', 'Julie', 'Gunther']",12.12775
32,86131,"['Director', 'Editor', 'Writer', 'Director of Photography']","['Thomas Schlamme', 'David Helfand', 'Ira Ungerleider', 'Mikel Neiers']","[1.972, 0.98, 2.744, 1.632]",1996-01-04,10.0,The One with Russ,"Monica gets back together with Fun Bobby. Joey lands a role of a neurosurgeon on Days of Our Lives. And Rachel, dating a guy named Russ, can't see his uncanny resemblance to Ross.",23.0,2.0,8.0,"['Fun Bobby', 'Estelle Leonard', 'Julie']",12.145666666666664
33,86132,"['Director', 'Writer', 'Editor', 'Director of Photography']","['Michael Lembeck', 'Michael Borkow', 'David Helfand', 'Mikel Neiers']","[6.644, 1.388, 0.98, 1.632]",1996-01-28,12.0,The One After the Super Bowl (1),"Ross goes to visit Marcel, his monkey, while on a trip to California. Joey gets his first fan letter and ends up dating the woman. Phoebe is asked to sing for the children at the library, but their parents are horrified by her lyrics.",23.0,2.0,8.333,"['Erika Ford', 'Rob Donnen', 'Security Guard', 'Zoo Keeper', 'Mr. Lipson', 'Kid', 'Monkeyshine Guy', 'Waiter', 'Coma Woman', 'Mike Horton']",11.9976
